ds,y,y_next,nhits_h1,nhits_h2,nhits_h3,nhits_h4,nhits_h5,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2022-05-10,868.260009765625,866.3499755859375,859.8938,856.104,852.6472,859.9592,857.2999,0.008872369274304627,1.8392254926290228,76.96627740376954,777.510009765625,868.260009765625,-0.00922434401865177,-0.027276961675287176,2
2022-05-11,866.3499755859375,861.6300048828125,856.104,852.6472,859.9592,857.2999,859.9114,0.008601720174126215,1.5155933885599744,79.11000202482728,777.510009765625,868.260009765625,0.013864232358316693,-0.026799053750572017,3
2022-05-12,861.6300048828125,865.1599731445312,852.6472,859.9592,857.2999,859.9114,867.46063,0.008448570568797635,0.8029212967378001,72.29130414472071,777.510009765625,868.260009765625,-0.025850570766837735,-0.042006962601721556,4
2022-05-13,865.1599731445312,859.9000244140625,859.9592,857.2999,859.9114,867.46063,854.845,0.00823249289510506,0.40842773756217454,69.00331100142483,777.510009765625,868.260009765625,0.018225116357163194,-0.01900735737992101,5
2022-05-16,859.9000244140625,857.280029296875,866.79846,871.58594,872.99976,874.4704,878.88715,0.008130315792903962,-0.3278405342742339,60.704936716656135,777.510009765625,868.260009765625,0.0038199388179227,0.0008347209336865393,1
2022-05-17,857.280029296875,850.5,871.58594,872.99976,874.4704,878.88715,871.0123,0.007908024272362672,-1.0705072882152784,57.44830164753864,777.510009765625,868.260009765625,0.010194545833625966,0.0204597515924605,2
2022-05-18,850.5,854.22998046875,872.99976,874.4704,878.88715,871.0123,869.48114,0.00794042485147587,-2.0412964284381125,52.54045080702528,777.510009765625,868.260009765625,-0.013655709241902486,-0.007240340524546897,3
2022-05-19,854.22998046875,837.0499877929688,874.4704,878.88715,871.0123,869.48114,873.7772,0.007756696345442661,-2.4288010926186523,47.734160627520296,777.510009765625,868.260009765625,0.02433087712236187,0.0438489226558517,4
2022-05-20,837.0499877929688,836.0,878.88715,871.0123,869.48114,873.7772,868.7784,0.009224969719833056,-3.759290620084368,41.10158077138391,777.510009765625,868.260009765625,-0.0009338571984142075,0.024040211954999256,5
2022-05-23,836.0,829.97998046875,840.1584,832.6953,833.0626,832.3376,835.3557,0.008928880188234102,-4.573130918907383,33.78731370126019,777.510009765625,868.260009765625,0.015414272906901085,0.03598237321630625,1
2022-05-24,829.97998046875,829.8599853515625,832.6953,833.0626,832.3376,835.3557,840.5743,0.008849013678465882,-5.327235361327521,33.66825805691093,777.510009765625,868.260009765625,-0.005073188864434374,0.02028540269822681,2
2022-05-25,829.8599853515625,831.5999755859375,833.0626,832.3376,835.3557,840.5743,841.1112,0.00855917187795734,-5.615699503709923,34.51503383674749,777.510009765625,868.260009765625,-0.011275925634071683,0.022716352594954314,3
2022-05-26,831.5999755859375,823.3200073242188,832.3376,835.3557,840.5743,841.1112,839.4528,0.00829413160556052,-5.465688324992315,27.717020992786104,777.510009765625,868.260009765625,-0.005157028728977165,-0.007001104793343108,4
2022-05-27,823.3200073242188,826.0,835.3557,840.5743,841.1112,839.4528,836.90076,0.008451614409031949,-5.675706077040981,25.814859491353417,777.510009765625,868.260009765625,0.011450010894338128,0.005372521081748666,5
