moneda,commodity,regimen,rezago,correlacion,p_valor,n_obs
BRL,WTI (petroleo),2014-2016 (crash petroleo),2,-0.014326265163506748,0.6893432685985738,781
BRL,WTI (petroleo),2014-2016 (crash petroleo),3,0.05720590224216519,0.11039525409258136,780
BRL,WTI (petroleo),2020 (shock COVID),-2,-0.05992665809833289,0.3376833989529753,258
BRL,WTI (petroleo),2020 (shock COVID),-1,0.15407924975874948,0.01304571773825509,259
BRL,WTI (petroleo),2020 (shock COVID),0,-0.019661427126691985,0.7523562993483084,260
BRL,WTI (petroleo),2020 (shock COVID),1,0.0983504324603876,0.11434185035435873,259
BRL,WTI (petroleo),2020 (shock COVID),2,-0.08818209505262643,0.1578648778957683,258
BRL,WTI (petroleo),2020 (shock COVID),3,0.0015597970541460554,0.9801478331253622,257
BRL,WTI (petroleo),2022 (guerra/inflacion),-2,-0.03999155365823875,0.5225001911829105,258
BRL,WTI (petroleo),2022 (guerra/inflacion),-1,-0.017250905088172425,0.7823140287381505,259
BRL,WTI (petroleo),2022 (guerra/inflacion),0,0.09783810890820985,0.11554095101397606,260
BRL,WTI (petroleo),2022 (guerra/inflacion),1,0.26286212911002016,1.823238169904521e-05,259
BRL,WTI (petroleo),2022 (guerra/inflacion),2,0.02213852374788164,0.7234033196219385,258
BRL,WTI (petroleo),2022 (guerra/inflacion),3,-0.02833109545305647,0.651226656027407,257
BRL,Oro,2014-2016 (crash petroleo),-2,-0.016239486568640948,0.6504495215299458,781
BRL,Oro,2014-2016 (crash petroleo),-1,0.06426810945868898,0.0724638916080352,782
BRL,Oro,2014-2016 (crash petroleo),0,0.01902325285013861,0.595066142656151,783
BRL,Oro,2014-2016 (crash petroleo),1,0.1045078525735933,0.00343543602554419,782
BRL,Oro,2014-2016 (crash petroleo),2,0.03645026942716054,0.30898244115711554,781
BRL,Oro,2014-2016 (crash petroleo),3,0.07447807932516641,0.03756108496129571,780
BRL,Oro,2020 (shock COVID),-2,-0.04062562008217778,0.5142841613781801,260
BRL,Oro,2020 (shock COVID),-1,0.07314059537300267,0.23898457490875663,261
BRL,Oro,2020 (shock COVID),0,-0.0022545325678101215,0.9710285157478965,262
BRL,Oro,2020 (shock COVID),1,0.018295287159714537,0.7686239208134534,261
BRL,Oro,2020 (shock COVID),2,0.10224145241261867,0.09997728486140822,260
BRL,Oro,2020 (shock COVID),3,0.004850163154739677,0.9380834882237941,259
BRL,Oro,2022 (guerra/inflacion),-2,0.07132237681277542,0.25366255071279586,258
BRL,Oro,2022 (guerra/inflacion),-1,0.02295131077451717,0.7131504866560352,259
BRL,Oro,2022 (guerra/inflacion),0,0.1169878128838306,0.059597998206361545,260
BRL,Oro,2022 (guerra/inflacion),1,0.23192347849934816,0.00016596595046251123,259
BRL,Oro,2022 (guerra/inflacion),2,-0.07469394240858,0.2318497814128532,258
BRL,Oro,2022 (guerra/inflacion),3,-0.048660390254337396,0.43731043888560406,257
ZAR,WTI (petroleo),2014-2016 (crash petroleo),-2,0.05203946169682768,0.14649155087791318,780
