ds,y,y_next,nhits_h1,nhits_h2,nhits_h3,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2022-06-21,883.0999755859375,873.5,866.29376,869.51166,868.4913,0.010695389985229146,6.167204056201621,75.88250471476033,778.530029296875,883.0999755859375,0.006327245744323865,-0.02847525087375268,5
2022-06-22,873.5,889.760009765625,879.8415,888.30743,887.6101,0.010738195142090089,5.523761264371382,70.36291615487448,778.530029296875,883.0999755859375,-0.022891807166630616,-0.051829653058205145,1
2022-06-23,889.760009765625,903.530029296875,888.30743,887.6101,883.13806,0.011419465148852006,5.823605390202097,79.71611393869071,778.530029296875,889.760009765625,-0.05007527019268089,-0.08596787216867789,2
2022-06-24,903.530029296875,917.3699951171876,887.6101,883.13806,893.25287,0.011724831659311784,6.5267866226081015,82.48101463924698,778.530029296875,903.530029296875,0.00039898684129586245,-0.06409457078601756,3
2022-06-27,917.3699951171876,920.0900268554688,883.13806,893.25287,883.3088,0.011989231879121702,7.435497759137309,82.8329151127342,778.530029296875,917.3699951171876,0.005040481110548134,-0.05936524813098821,4
2022-06-28,920.0900268554688,910.6799926757812,893.25287,883.3088,885.39825,0.01160501370882171,7.698799700082773,82.88725517988648,786.9099731445312,920.0900268554688,0.0013221940432880405,-0.06406141162189975,5
2022-06-29,910.6799926757812,926.2999877929688,924.5351,930.90234,918.4483,0.011543860763030801,6.752109347397539,79.51681116642916,799.4099731445312,920.0900268554688,-0.0013221940432880527,-0.043654282616796554,1
2022-06-30,926.2999877929688,916.25,930.90234,918.4483,922.53467,0.011987879578410365,6.678614911130435,80.88816042975748,805.3499755859375,926.2999877929688,-0.017215369716929715,-0.01170683719890485,2
2022-07-01,916.25,932.0800170898438,918.4483,922.53467,928.0874,0.011941640233621204,5.502855204558156,73.37310036467618,805.3499755859375,926.2999877929688,-0.02604633327227293,-0.03750000871876455,3
2022-07-04,932.0800170898438,928.25,922.53467,928.0874,929.1546,0.012357826799070291,5.336911578741269,72.93452288558375,805.3499755859375,932.0800170898438,0.0,-0.04233926540706707,4
2022-07-05,928.25,952.7999877929688,928.0874,929.1546,929.67017,0.011992263352469714,4.545778795070248,69.96590471688833,805.3499755859375,932.0800170898438,-0.05509627519484512,-0.09487314354525148,5
2022-07-06,952.7999877929688,969.5,922.9224,913.7433,900.7325,0.013425090625563255,5.20504690835255,79.70503816862893,805.3499755859375,952.7999877929688,-0.002045878120812058,-0.09552793248066674,1
2022-07-07,969.5,951.280029296875,913.7433,900.7325,907.0492,0.013726792869417168,6.226007823326217,80.50153890465305,811.3099975585938,969.5,0.04686572875972961,-0.03567100148385011,2
2022-07-08,951.280029296875,973.6099853515624,900.7325,907.0492,914.39465,0.014182775125111196,5.17744825992478,71.15689512941553,811.3099975585938,969.5,-0.014057007328479318,-0.02403976076187497,3
2022-07-11,973.6099853515624,993.2999877929688,907.0492,914.39465,919.83826,0.014974896623886236,5.462721720714882,73.48104055878856,811.3099975585938,973.6099853515624,-0.027119838109684272,-0.050151964670569295,4
2022-07-12,993.2999877929688,1019.1500244140624,914.39465,919.83826,919.6592,0.0153720001022356,6.388135054238525,79.53357249451776,811.3099975585938,993.2999877929688,-0.041883173257640245,-0.037518244242400196,5
2022-07-13,1019.1500244140624,1012.2000122070312,980.68396,968.2055,953.63477,0.016297034336202717,8.044823100714147,80.45760412123008,811.3099975585938,1019.1500244140624,0.008758752448604084,-0.027062601478739276,1
2022-07-14,1012.2000122070312,1008.8400268554688,968.2055,953.63477,945.6573,0.015833827453640318,7.961455376716039,76.42880702247102,811.3099975585938,1019.1500244140624,-0.03519335333759035,-0.10371301325472843,2
2022-07-15,1008.8400268554688,1050.25,953.63477,945.6573,964.84186,0.015308924377553474,7.002786039836181,73.44062579867946,811.3099975585938,1019.1500244140624,0.007447646427040558,-0.08422993432958804,3
2022-07-18,1050.25,1050.260009765625,945.6573,964.84186,968.40106,0.018186496954000944,8.386903034708993,77.83575276740152,811.3099975585938,1050.25,0.034488832166270904,-0.026036349209872158,4
2022-07-19,1050.260009765625,1050.260009765625,964.84186,968.40106,958.7703,0.017538454711217347,8.505711021504055,81.10072189587632,811.3099975585938,1050.260009765625,-0.0170197516986835,-0.0015167226062545254,5
2022-07-20,1050.260009765625,926.9600219726562,1056.9799,1049.707,1056.7262,0.01691898580499661,7.8051946883522305,79.68676137963216,811.3099975585938,1050.260009765625,0.011478714797717558,0.0012028111525550541,1
2022-07-21,926.9600219726562,928.3200073242188,1049.707,1056.7262,1041.1449,0.038406848165307365,-1.258642819077437,51.662892126230936,811.3099975585938,1050.260009765625,-0.008293771177248261,0.028500247255772822,2
2022-07-22,928.3200073242188,951.9299926757812,1056.7262,1041.1449,1026.517,0.036846733380363685,-7.130929715429218,49.38873544322336,811.3099975585938,1050.260009765625,0.013984128994097221,0.03524504079025386,3
2022-07-25,951.9299926757812,936.4299926757812,1041.1449,1026.517,1022.5373,0.0360542462171627,-9.25878368556338,53.617034209642604,811.3099975585938,1050.260009765625,0.0007463414598675229,0.0008960636010747351,4
2022-07-26,936.4299926757812,924.4000244140624,1026.517,1022.5373,1024.4547,0.03492666965079437,-11.402959274239432,47.42844585340897,811.3099975585938,1050.260009765625,0.009356231511626789,0.027646920601218986,5
2022-07-27,924.4000244140624,909.75,950.2877,957.7274,974.64886,0.03374591642424335,-13.197524740097059,42.809770766791175,811.3099975585938,1050.260009765625,0.013799446663093596,0.030034583046752456,1
2022-07-28,909.75,908.4500122070312,957.7274,974.64886,966.8851,0.03273300642654178,-14.816013301192669,43.30268680738713,811.3099975585938,1050.260009765625,0.013179943583044093,0.052392445929093076,2
2022-07-29,908.4500122070312,900.5999755859375,974.64886,966.8851,962.53033,0.031463421197746234,-15.353559584438678,38.727426734888994,811.3099975585938,1050.260009765625,0.030885074406484785,0.0703300272766233,3
2022-08-01,900.5999755859375,891.2000122070312,966.8851,962.53033,945.7989,0.030346982295618982,-15.568428070943337,33.27801164287804,811.3099975585938,1050.260009765625,-0.008968687961960311,0.059982086234383176,4
2022-08-02,891.2000122070312,909.2899780273438,962.53033,945.7989,923.69775,0.029328760865829445,-15.633213712671463,25.46311284777211,811.3099975585938,1050.260009765625,-0.00777228609106147,0.04198077243110068,5
2022-08-03,909.2899780273438,911.1199951171876,881.27014,862.0269,847.6977,0.028732312441413645,-13.810559848156744,31.073659794231034,811.3099975585938,1050.260009765625,-0.015728041877474796,0.01166349632649768,1
