estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,sharpe_bruto,ic95_bruto,retorno_bruto_%,operaciones,apalancamiento_mediano,breakeven_spread_%,spread_%,n_decisiones,exp,par,N,h,coincidencia_con_cobre_%,sharpe_min_semillas,sharpe_max_semillas,n_semillas
Umbral cobre,4.65334541302318,-9.931151725967746,0.3768457655115038,0.9505526383502382,-0.4014915751571796,1.3803031412507245,20.0,1.177370242762078,"[0.35, 2.31]",17.363565563940586,20.0,3.867609888502377,0.2218699090020727,0.15,20.0,multidia,clp_h5,14,2,,,,
Umbral simple (forecast),-0.4224583691420203,-4.988635926437512,-0.020390056639697868,0.94868877608004,-1.2814701362240282,0.9746057363549601,20.0,0.2542909759594354,"[-1.05, 1.19]",1.6986805588943943,4.0,3.1976617533176745,0.13879276550810626,0.15,20.0,multidia,clp_h5,14,2,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.34056850912234515,,,,,,0.0,20.0,multidia,clp_h5,14,2,,-1.1909795987681382,1.6720428052056697,
PPO seed=42,7.132133113477668,-9.506292403509264,0.4853123982692883,0.9517815942209887,-1.3182776526894386,1.6935660093928215,20.0,1.1682825100324243,"[-0.37, 2.28]",20.09681759769517,20.0,3.867609888502377,0.25627422320049925,0.15,20.0,multidia,clp_h5,14,4,60.0,,,
PPO (resumen semillas),7.132133113477668,,0.4853123982692883,,,,,1.1682825100324243,,,,,,0.15,,multidia,clp_h5,14,4,,0.4853123982692883,0.4853123982692883,1.0
Umbral cobre,3.241839119423018,-10.460063888661864,0.286726140056728,0.9497659169420618,-0.5472892958457733,1.2566444812138646,20.0,1.1069788847706232,"[0.25, 2.16]",15.798829068863164,20.0,3.867609888502377,0.20366005896873238,0.15,20.0,multidia,clp_h5,14,4,,,,
Umbral simple (forecast),-1.0454325918706209,-4.762165548498465,-0.113483373770531,0.9488529716995454,-1.2233606183538184,0.9733285267845754,20.0,0.1808624033106855,"[-0.99, 1.14]",1.0649955354937735,4.0,3.1976617533176745,0.09171674612229815,0.15,20.0,multidia,clp_h5,14,4,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.24654426605958424,,,,,,0.0,20.0,multidia,clp_h5,14,4,,-1.367193634009542,1.7229234137339415,
PPO seed=42,5.740708397407102,-20.903789707699815,0.3134972352716255,0.9167831818825074,-0.9285472998455807,1.3828005639924303,100.0,1.695882173870461,"[0.55, 2.74]",57.55682420736257,69.0,3.880641521162888,0.18354947469329538,0.15,100.0,multidia,clp_h5,3,1,68.11594202898551,,,
PPO (resumen semillas),5.740708397407102,,0.3134972352716255,,,,,1.695882173870461,,,,,,0.15,,multidia,clp_h5,3,1,,0.3134972352716255,0.3134972352716255,1.0
Umbral cobre,21.896081102683617,-29.43892411589545,0.7033122086055315,0.9178634104886565,-1.1456899751173848,2.332967600559586,100.0,2.2698822664264773,"[0.60, 3.86]",113.27893123311341,98.0,3.6833374404058126,0.2166826384382872,0.15,100.0,multidia,clp_h5,3,1,,,,
Umbral simple (forecast),28.90716297668274,-13.444505255954354,1.2951895445653223,0.9210795729912571,-0.7064726314133064,3.050746501431224,100.0,2.1444186024626726,"[0.26, 3.72]",56.26072145352203,35.0,3.545508950937077,0.3605305486669352,0.15,100.0,multidia,clp_h5,3,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.9763782708635415,,,,,,0.0,100.0,multidia,clp_h5,3,1,,-0.48389623665939013,2.5364885717157857,
PPO seed=42,-4.705829211383506,-18.960011512887178,-0.03443080555146752,0.9165183726482817,-1.5535694466842767,1.276750914944205,100.0,1.5551326811320538,"[0.09, 2.83]",54.412722275289504,81.0,3.9616640081720966,0.14677747909151567,0.15,100.0,multidia,clp_h5,3,2,66.66666666666666,,,
PPO (resumen semillas),-4.705829211383506,,-0.03443080555146752,,,,,1.5551326811320538,,,,,,0.15,,multidia,clp_h5,3,2,,-0.03443080555146752,-0.03443080555146752,1.0
Umbral cobre,34.27752547517622,-27.47338703501807,0.9705181576197095,0.9190808057354628,-0.8312799568451499,2.585152975844468,100.0,2.5194507180390286,"[0.87, 4.10]",134.7869359738691,98.0,3.6833374404058126,0.24278143038716712,0.15,100.0,multidia,clp_h5,3,2,,,,
Umbral simple (forecast),23.248244596425916,-13.444505255954365,1.113230611484337,0.9198893476781481,-0.948672220473413,2.8908409604446943,100.0,2.002291942415203,"[0.03, 3.61]",49.43278651379253,35.0,3.545508950937077,0.3248565148044251,0.15,100.0,multidia,clp_h5,3,2,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.1472768454946694,,,,,,0.0,100.0,multidia,clp_h5,3,2,,-0.33176887554397566,2.698065503305573,
PPO seed=42,-9.939769152373824,-37.72110870229226,-0.1755573203734659,0.9165992045947255,-1.65274141256591,1.1078804161404836,100.0,1.5116413037702296,"[0.13, 2.81]",58.14775698884376,98.0,3.6833374404058126,0.13442869524308598,0.15,100.0,multidia,clp_h5,3,4,57.14285714285714,,,
PPO (resumen semillas),-9.939769152373824,,-0.1755573203734659,,,,,1.5116413037702296,,,,,,0.15,,multidia,clp_h5,3,4,,-0.1755573203734659,-0.1755573203734659,1.0
Umbral cobre,25.469904807409428,-26.594706395859912,0.7807049484515712,0.9181761819404182,-1.0049945514033938,2.348260552989532,100.0,2.332662625590765,"[0.68, 3.90]",119.48460378466224,98.0,3.6833374404058126,0.2246361477725241,0.15,100.0,multidia,clp_h5,3,4,,,,
Umbral simple (forecast),19.497742637242645,-13.444505255954354,0.9620004176961565,0.9190360297715415,-1.1813173358278304,2.7348994042860477,100.0,1.8606754563421204,"[-0.17, 3.45]",44.90466173803902,35.0,3.545508950937077,0.3008966478392128,0.15,100.0,multidia,clp_h5,3,4,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.0766636233993128,,,,,,0.0,100.0,multidia,clp_h5,3,4,,-0.38468814292574643,2.5966212123433747,
PPO seed=42,-34.23028800670993,-44.07256722680789,-1.659537843748112,0.9289513166954809,-4.577819685341809,0.6978652527477078,60.0,-0.20227881198109768,"[-2.81, 1.98]",-6.95767182728072,60.0,3.751684199241085,-0.02101021301476034,0.15,60.0,multidia,clp_h5,5,1,51.66666666666667,,,
PPO (resumen semillas),-34.23028800670993,,-1.659537843748112,,,,,-0.20227881198109768,,,,,,0.15,,multidia,clp_h5,5,1,,-1.659537843748112,-1.659537843748112,1.0
Umbral cobre,1.1112519964977752,-19.77666531811194,0.15490015161299403,0.9166242144274543,-1.373165765922681,1.284602887740602,60.0,1.3611283402372638,"[0.11, 2.38]",42.70526317231853,60.0,3.751684199241085,0.16916178744159463,0.15,60.0,multidia,clp_h5,5,1,,,,
Umbral simple (forecast),25.055795273219196,-10.339601959779587,1.2667526199703665,0.9237814595464023,-0.5310236701147037,2.6673119876662432,60.0,1.786458390077302,"[0.13, 3.06]",39.44877337058532,20.0,3.502791478985928,0.4741777419039375,0.15,60.0,multidia,clp_h5,5,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.025368602546784,,,,,,0.0,60.0,multidia,clp_h5,5,1,,-0.44691951276229996,2.375488762492992,
PPO seed=42,-26.240855841737233,-41.97441407476655,-1.0016885556945825,0.9210654155316075,-3.456144741609288,0.8901258235408316,60.0,0.26509021550599693,"[-1.87, 2.04]",4.274732879953724,60.0,3.751684199241085,0.03156127649434949,0.15,60.0,multidia,clp_h5,5,2,51.66666666666667,,,
PPO (resumen semillas),-26.240855841737233,,-1.0016885556945825,,,,,0.26509021550599693,,,,,,0.15,,multidia,clp_h5,5,2,,-1.0016885556945825,-1.0016885556945825,1.0
Umbral cobre,-8.701221360612255,-21.53157578595124,-0.26796860517923426,0.9168415310790342,-1.733085224110744,0.9997880061964723,60.0,1.135910907215021,"[-0.19, 2.38]",28.941555084110114,60.0,3.751684199241085,0.12144750200225904,0.15,60.0,multidia,clp_h5,5,2,,,,
