ds,estrategia,posicion,notional,razon_cierre,pnl,capital
2026-03-03,PPO baseline (TP=h1 siempre),-1.0,714.9869412349597,stop_loss,-4.798458264026815,155.1501505368648
2026-03-06,PPO baseline (TP=h1 siempre),-1.0,541.7509978000503,stop_loss,-4.6545045161059235,150.49564602075887
2026-03-11,PPO baseline (TP=h1 siempre),-1.0,402.38123044241564,stop_loss,-4.514869380622718,145.98077664013616
2026-03-16,PPO baseline (TP=h1 siempre),-1.0,376.450411489584,cierre_periodo,0.6488399487030362,146.62961658883918
2026-03-19,PPO baseline (TP=h1 siempre),1.0,403.35572746345076,trailing_stop,0.8140054430535393,147.44362203189272
2026-03-24,PPO baseline (TP=h1 siempre),1.0,374.5758791620326,cierre_periodo,6.953125627862523,154.39674765975525
2026-03-27,PPO baseline (TP=h1 siempre),-1.0,412.81037830257696,cierre_periodo,0.6520933943946813,155.04884105414993
2026-04-01,PPO baseline (TP=h1 siempre),-1.0,445.26867527367864,take_profit,5.648396706099132,160.69723776024907
2026-04-06,PPO baseline (TP=h1 siempre),-1.0,472.9897736938764,cierre_periodo,11.390409273481675,172.08764703373075
2026-04-09,PPO baseline (TP=h1 siempre),-1.0,475.15815836980715,cierre_periodo,1.23920719774333,173.32685423147407
2026-04-14,PPO baseline (TP=h1 siempre),-1.0,524.7980566330742,cierre_periodo,5.143078066908835,178.4699322983829
2026-04-17,PPO baseline (TP=h1 siempre),-1.0,578.872215320244,trailing_stop,-2.123470949778756,176.34646134860415
2026-04-22,PPO baseline (TP=h1 siempre),-1.0,563.2722345660014,cierre_periodo,-2.633400885122931,173.7130604634812
2026-04-27,PPO baseline (TP=h1 siempre),1.0,607.2811414309916,cierre_periodo,5.361803994832433,179.07486445831364
2026-04-30,PPO baseline (TP=h1 siempre),1.0,613.7832419870584,cierre_periodo,4.919929515124585,183.99479397343822
2026-05-05,PPO baseline (TP=h1 siempre),-1.0,628.9672379423534,cierre_periodo,14.345230148149005,198.34002412158722
2026-05-08,PPO baseline (TP=h1 siempre),-1.0,683.9338694937492,stop_loss,-5.950200723647621,192.3898233979396
2026-05-13,PPO baseline (TP=h1 siempre),-1.0,625.3419130944679,take_profit,11.559928822990713,203.94975222093032
2026-05-18,PPO baseline (TP=h1 siempre),1.0,538.4947872394209,cierre_periodo,-0.26924739361971045,203.6805048273106
2026-05-21,PPO baseline (TP=h1 siempre),1.0,580.3215410480593,cierre_periodo,-0.6593339858708107,203.0211708414398
2026-05-26,PPO baseline (TP=h1 siempre),-1.0,643.2989316433392,take_profit,0.5621302059325293,203.58330104737234
2026-05-29,PPO baseline (TP=h1 siempre),-1.0,709.7140363118681,cierre_periodo,0.931965521719671,204.515266569092
2026-06-03,PPO baseline (TP=h1 siempre),-1.0,785.7246018649304,stop_loss,-6.135457997072819,198.3798085720192
2026-06-08,PPO baseline (TP=h1 siempre),1.0,656.999684573409,cierre_periodo,0.3326123963865492,198.71242096840572
