ds,y,y_next,vol_realizada,posicion_cruda,pos,ventana,seed
2026-01-12,0.001117780528869,0.001131644187694,0.0062168687608034,-0.20426708,-0.3104686087562529,3,123
2026-01-13,0.001131644187694,0.0011292417297551,0.0063715463994237,-0.29672945,-0.4400548359952788,3,123
2026-01-14,0.0011292417297551,0.0011346358607674,0.0063919498636048,-0.2432613,-0.3596090936505977,3,123
2026-01-15,0.0011346358607674,0.0011331316233632,0.0062819201003446,-0.44974834,-0.6765005387177099,3,123
2026-01-16,0.0011331316233632,0.0011284261808924,0.006314393449983,0.08749021,0.13092386544762452,3,123
2026-01-19,0.0011284261808924,0.0011270272681578,0.0063050921367872,0.025453178,0.038145348830583244,3,123
2026-01-20,0.0011270272681578,0.0011304416822771,0.0061903344128405,-0.54369104,-0.8299063290737189,3,123
2026-01-21,0.0011304416822771,0.0011437067855235,0.0061993038969895,-0.4191105,-0.6388172142279215,3,123
2026-01-22,0.0011437067855235,0.0011477761836441,0.00660537925451,-0.42889658,-0.6135441647233878,3,123
2026-01-23,0.0011477761836441,0.0011493724716734,0.0066147945770402,-0.4839195,-0.6912701083287122,3,123
2026-01-26,0.0011493724716734,0.0011566175516007,0.0066022784547232,-0.24880895,-0.35609277969944453,3,123
2026-01-27,0.0011566175516007,0.0011631288165164,0.0066136792025568,0.17151186,0.24504285382749585,3,123
2026-01-28,0.0011631288165164,0.0011595009475084,0.0060063497228358,0.2004129,0.3152869969405602,3,123
2026-01-29,0.0011595009475084,0.0011639275935306,0.0053539437678069,-0.11129518,-0.19642354871586123,3,123
2026-01-30,0.0011639275935306,0.0011548277672077,0.0053490492413519,-0.30349693,-0.5361282750374391,3,123
2026-02-02,0.0011548277672077,0.0011559223878263,0.0054194921462621,-0.024880916,-0.04338092293302866,3,123
2026-02-03,0.0011559223878263,0.0011627366466076,0.0054256520907437,-0.36703044,-0.6392064443735425,3,123
2026-02-04,0.0011627366466076,0.0011652159429476,0.0050760785775837,-0.33501592,-0.623631592020705,3,123
2026-02-05,0.0011652159429476,0.0011544544332593,0.0050095082471052,0.023389876,0.04411881264251331,3,123
2026-02-06,0.0011544544332593,0.0011622636048473,0.0055621955356485,-0.34435746,-0.584997808947655,3,123
2026-02-09,0.0011622636048473,0.0011731994388921,0.0056747007070978,-0.33656618,-0.5604263160783849,3,123
2026-02-10,0.0011731994388921,0.0011693718501847,0.0054227671115099,0.096041575,0.1673513907727756,3,123
2026-02-11,0.0011693718501847,0.0011707682380523,0.0054721267462411,0.053930026,0.09312482865192032,3,123
2026-02-12,0.0011707682380523,0.0011673924155688,0.0054264944154149,-0.08829312,-0.1537441187838187,3,123
2026-02-13,0.0011673924155688,0.0011595546981569,0.0054812588836392,0.12407253,0.21388795035303315,3,123
