exp,par,N,h,estrategia,spread_ida_vuelta_%,sharpe,retorno_total_%
multidia,clp_h5,3,1,Umbral cobre,0.3,-0.8829297550701513,-30.56684082833637
multidia,clp_h5,3,2,PPO seed=42,0.0,1.5551326811320538,54.412722275289504
multidia,clp_h5,3,2,PPO seed=42,0.02,1.3454078324646102,44.813686655387656
multidia,clp_h5,3,2,PPO seed=42,0.05,1.0292424684781147,31.509163025028464
multidia,clp_h5,3,2,PPO seed=42,0.1,0.498881102752508,11.96543591000314
multidia,clp_h5,3,2,PPO seed=42,0.15,-0.03443080555146752,-4.705829211383506
multidia,clp_h5,3,2,PPO seed=42,0.2,-0.5691251118389089,-18.922105681271983
multidia,clp_h5,3,2,PPO seed=42,0.3,-1.6362875569039088,-41.368169119813594
multidia,clp_h5,3,2,Umbral cobre,0.0,2.5194507180390286,134.7869359738691
multidia,clp_h5,3,2,Umbral cobre,0.02,2.314614683279543,117.97243126855852
multidia,clp_h5,3,2,Umbral cobre,0.05,2.006323316826592,94.95970654803618
multidia,clp_h5,3,2,Umbral cobre,0.1,1.4899054102796425,61.82845452929726
multidia,clp_h5,3,2,Umbral cobre,0.15,0.9705181576197095,34.27752547517622
multidia,clp_h5,3,2,Umbral cobre,0.2,0.44849384953076443,11.375461032146816
multidia,clp_h5,3,2,Umbral cobre,0.3,-0.6020868050130502,-23.462831861161227
multidia,clp_h5,3,4,PPO seed=42,0.0,1.5116413037702296,58.14775698884376
multidia,clp_h5,3,4,PPO seed=42,0.02,1.2873732802834004,46.73855246729619
multidia,clp_h5,3,4,PPO seed=42,0.05,0.9504814540528052,31.134513812343467
multidia,clp_h5,3,4,PPO seed=42,0.1,0.3879300276958553,8.694419431190514
multidia,clp_h5,3,4,PPO seed=42,0.15,-0.1755573203734659,-9.939769152373824
multidia,clp_h5,3,4,PPO seed=42,0.2,-0.7395206144677048,-25.407744294581825
multidia,clp_h5,3,4,PPO seed=42,0.3,-1.8670247529768715,-48.88869936953133
multidia,clp_h5,3,4,Umbral cobre,0.0,2.332662625590765,119.48460378466224
multidia,clp_h5,3,4,Umbral cobre,0.02,2.1272879419647475,103.75393703483557
multidia,clp_h5,3,4,Umbral cobre,0.05,1.8182651556262057,82.22613882254713
multidia,clp_h5,3,4,Umbral cobre,0.1,1.3008364806165023,51.236307980896086
multidia,clp_h5,3,4,Umbral cobre,0.15,0.7807049484515712,25.469904807409428
multidia,clp_h5,3,4,Umbral cobre,0.2,0.2582091598982961,4.054412216541592
multidia,clp_h5,3,4,Umbral cobre,0.3,-0.792475570522056,-28.515494129514384
multidia,clp_h5,5,1,PPO seed=42,0.0,-0.20227881198109768,-6.95767182728072
multidia,clp_h5,5,1,PPO seed=42,0.02,-0.395294752756672,-11.152331827630801
multidia,clp_h5,5,1,PPO seed=42,0.05,-0.6856225593325724,-17.098214290182323
multidia,clp_h5,5,1,PPO seed=42,0.1,-1.1714809205969434,-26.15079591956917
multidia,clp_h5,5,1,PPO seed=42,0.15,-1.659537843748112,-34.23028800670993
