ds,copper,tasa_chile,tasa_us
2009-10-19,2.9565000534057617,0.49,0.12
2009-10-20,2.922499895095825,0.49,0.12
2009-10-21,3.0264999866485596,0.49,0.11
2009-10-22,2.98799991607666,0.49,0.11
2009-10-23,3.0239999294281006,0.49,0.11
2009-10-24,3.0239999294281006,0.49,0.11
2009-10-25,3.0239999294281006,0.49,0.11
2009-10-26,2.999500036239624,0.49,0.11
2009-10-27,2.9885001182556152,0.49,0.11
2009-10-28,2.9189999103546143,0.49,0.11
2009-10-29,3.0209999084472656,0.49,0.11
2009-10-30,2.947499990463257,0.49,0.11
2009-10-31,2.947499990463257,0.49,0.11
2009-11-01,2.947499990463257,0.48,0.11
2009-11-02,2.937000036239624,0.48,0.12
2009-11-03,2.947999954223633,0.48,0.12
2009-11-04,2.984499931335449,0.48,0.13
2009-11-05,2.950500011444092,0.48,0.13
2009-11-06,2.945499897003174,0.48,0.12
2009-11-07,2.945499897003174,0.48,0.12
2009-11-08,2.945499897003174,0.48,0.12
2009-11-09,2.9614999294281006,0.48,0.12
2009-11-10,2.9570000171661377,0.48,0.13
2009-11-11,2.9614999294281006,0.48,0.13
2009-11-12,2.94350004196167,0.48,0.12
2009-11-13,2.9684998989105225,0.48,0.12
2009-11-14,2.9684998989105225,0.48,0.12
2009-11-15,2.9684998989105225,0.48,0.12
2009-11-16,3.1005001068115234,0.48,0.12
2009-11-17,3.1040000915527344,0.48,0.12
2009-11-18,3.1075000762939453,0.48,0.11
2009-11-19,3.078000068664551,0.48,0.11
2009-11-20,3.1050000190734863,0.48,0.11
2009-11-21,3.1050000190734863,0.48,0.11
2009-11-22,3.1050000190734863,0.48,0.11
2009-11-23,3.133500099182129,0.48,0.12
2009-11-24,3.111999988555908,0.48,0.12
2009-11-25,3.1659998893737793,0.48,0.11
2009-11-26,3.1659998893737793,0.48,0.11
2009-11-27,3.0934998989105225,0.48,0.12
2009-11-28,3.0934998989105225,0.48,0.12
2009-11-29,3.0934998989105225,0.48,0.12
2009-11-30,3.1484999656677246,0.48,0.13
2009-12-01,3.2035000324249268,0.48,0.13
2009-12-02,3.2314999103546143,0.48,0.13
2009-12-03,3.2195000648498535,0.48,0.13
2009-12-04,3.2135000228881836,0.48,0.12
2009-12-05,3.2135000228881836,0.48,0.12
2009-12-06,3.2135000228881836,0.48,0.12
2009-12-07,3.184999942779541,0.48,0.12
2009-12-08,3.1394999027252197,0.48,0.12
2009-12-09,3.0980000495910645,0.48,0.12
2009-12-10,3.0794999599456787,0.48,0.12
2009-12-11,3.109999895095825,0.48,0.12
2009-12-12,3.109999895095825,0.48,0.12
2009-12-13,3.109999895095825,0.48,0.12
2009-12-14,3.130000114440918,0.48,0.12
2009-12-15,3.121000051498413,0.48,0.13
2009-12-16,3.186000108718872,0.48,0.14
2009-12-17,3.1105000972747803,0.48,0.13
2009-12-18,3.121000051498413,0.48,0.12
2009-12-19,3.121000051498413,0.48,0.12
2009-12-20,3.121000051498413,0.48,0.12
2009-12-21,3.140500068664551,0.48,0.12
2009-12-22,3.119999885559082,0.48,0.12
2009-12-23,3.184499979019165,0.48,0.11
2009-12-24,3.2709999084472656,0.48,0.11
2009-12-25,3.2709999084472656,0.48,0.11
2009-12-26,3.2709999084472656,0.48,0.11
2009-12-27,3.2709999084472656,0.48,0.11
2009-12-28,3.316499948501587,0.48,0.12
2009-12-29,3.2960000038146973,0.48,0.12
2009-12-30,3.325500011444092,0.48,0.11
2009-12-31,3.327500104904175,0.48,0.05
2010-01-01,3.327500104904175,0.46,0.05
2010-01-02,3.327500104904175,0.46,0.05
2010-01-03,3.327500104904175,0.46,0.05
2010-01-04,3.388000011444092,0.46,0.12
2010-01-05,3.3959999084472656,0.46,0.12
2010-01-06,3.4774999618530273,0.46,0.12
2010-01-07,3.4114999771118164,0.46,0.1
2010-01-08,3.388000011444092,0.46,0.11
2010-01-09,3.388000011444092,0.46,0.11
2010-01-10,3.388000011444092,0.46,0.11
