ds,y
2020-03-06,89.18000030517578
2020-03-09,88.06999969482422
2020-03-10,90.1500015258789
2020-03-11,89.58999633789062
2020-03-12,89.4800033569336
2020-03-13,90.12999725341797
2020-03-16,89.98999786376953
2020-03-17,89.94999694824219
2020-03-18,90.44000244140625
2020-03-19,89.97000122070312
2020-03-20,89.56999969482422
2020-03-23,88.55000305175781
2020-03-24,88.45999908447266
2020-03-25,88.7699966430664
2020-03-26,88.5999984741211
2020-03-27,88.48999786376953
2020-03-30,88.22000122070312
2020-03-31,88.0199966430664
2020-04-01,80.33999633789062
2020-04-02,81.7300033569336
2020-04-03,82.37999725341797
2020-04-06,82.48999786376953
2020-04-07,81.9000015258789
2020-04-08,82.87000274658203
2020-04-09,83.3499984741211
2020-04-13,83.83999633789062
2020-04-14,84.25
2020-04-15,84.22000122070312
2020-04-16,84.04000091552734
2020-04-17,84.16999816894531
2020-04-20,84.43000030517578
2020-04-21,83.91999816894531
2020-04-22,84.12999725341797
2020-04-23,84.04000091552734
2020-04-24,83.9800033569336
2020-04-27,83.95999908447266
2020-04-28,83.87999725341797
2020-04-29,83.83000183105469
2020-04-30,83.83999633789062
2020-05-01,82.5
2020-05-04,82.1500015258789
2020-05-05,83.05999755859375
2020-05-06,83.29000091552734
2020-05-07,85.93000030517578
2020-05-08,86.83999633789062
2020-05-11,86.69000244140625
2020-05-12,87.80999755859375
2020-05-13,88.3499984741211
2020-05-14,88.73999786376953
2020-05-15,89.5
2020-05-18,91.48999786376953
2020-05-19,90.6500015258789
2020-05-20,91.12999725341797
2020-05-21,91.19999694824219
2020-05-22,91.41999816894531
2020-05-26,91.63999938964844
2020-05-27,91.80999755859375
2020-05-28,92.05000305175781
2020-05-29,92.54000091552734
2020-06-01,99.16000366210938
2020-06-02,100.66999816894531
2020-06-03,100.4000015258789
2020-06-04,98.8499984741211
2020-06-05,100.26000213623047
2020-06-08,103.41000366210938
2020-06-09,102.9800033569336
2020-06-10,102.88999938964844
2020-06-11,102.75
2020-06-12,103.58999633789062
2020-06-15,103.06999969482422
2020-06-16,103.45999908447266
2020-06-17,103.18000030517578
2020-06-18,103.05000305175781
2020-06-19,103.04000091552734
2020-06-22,102.93000030517578
2020-06-23,102.8499984741211
2020-06-24,103.12000274658203
2020-06-25,103.08000183105469
2020-06-26,103.2300033569336
2020-06-29,103.05999755859375
2020-06-30,102.94999694824219
2020-07-01,98.01000213623047
2020-07-02,98.94000244140625
2020-07-06,101.54000091552734
2020-07-07,103.04000091552734
2020-07-08,105.02999877929688
2020-07-09,104.61000061035156
2020-07-10,105.58999633789062
2020-07-13,106.93000030517578
2020-07-14,107.44999694824219
2020-07-15,107.56999969482422
2020-07-16,107.19999694824219
2020-07-17,107.22000122070312
2020-07-20,107.18000030517578
2020-07-21,107.58000183105469
2020-07-22,108.04000091552734
2020-07-23,107.77999877929688
2020-07-24,107.69000244140625
2020-07-27,107.45999908447266
2020-07-28,107.72000122070312
2020-07-29,107.87999725341797
2020-07-30,108.05000305175781
2020-07-31,108.9000015258789
2020-08-03,114.20999908447266
2020-08-04,115.55000305175781
2020-08-05,116.2699966430664
2020-08-06,118.88999938964844
2020-08-07,118.06999969482422
2020-08-10,118.33999633789062
2020-08-11,119.27999877929688
2020-08-12,120.19000244140625
2020-08-13,119.86000061035156
2020-08-14,120.13999938964844
2020-08-17,120.45999908447266
2020-08-18,122.75
2020-08-19,122.47000122070312
2020-08-20,123.73999786376953
2020-08-21,122.79000091552734
2020-08-24,122.56999969482422
2020-08-25,122.33999633789062
2020-08-26,122.45999908447266
2020-08-27,122.38999938964844
2020-08-28,122.44999694824219
2020-08-31,122.52999877929688
2020-09-01,123.68000030517578
2020-09-02,126.05999755859375
2020-09-03,128.3800048828125
2020-09-04,127.52999877929688
2020-09-08,128.02999877929688
2020-09-09,126.77999877929688
2020-09-10,126.7699966430664
2020-09-11,127.43000030517578
2020-09-14,128.86000061035156
2020-09-15,128.00999450683594
2020-09-16,126.01000213623047
2020-09-17,126.58999633789062
2020-09-18,127.08999633789062
2020-09-21,126.01000213623047
2020-09-22,125.7300033569336
